title,tipo,ano,doi_id,file_bruto_name
Reminiscências de César Lattes,história da física e ciências afins,2005,10.1590/S1806-11172005000300025,1459.html
Formulação geométrica do princípio de d'Alembert,notas e discussões,2005,10.1590/S1806-11172005000300026,1460.html
Mulheres na Física: Lise Meitner,carta ao editor,2005,10.1590/S1806-11172005000400001,1461.html
Compreendendo a oscilação dos neutrinos,artigos gerais,2005,10.1590/S1806-11172005000400002,1462.html
Uma discussão sobre oscilações quirais e inversão de spin,artigos gerais,2005,10.1590/S1806-11172005000400003,1463.html
Introdução à criptografia quântica,artigos gerais,2005,10.1590/S1806-11172005000400004,1464.html
Difração de elétrons de baixa energia (LEED) e a determinação da estrutura atômica de superfícies ordenadas,artigos gerais,2005,10.1590/S1806-11172005000400005,1465.html
Para o ensino do átomo de Bohr no nível médio,artigos gerais,2005,10.1590/S1806-11172005000400006,1466.html
A criticalidade auto-organizada na pilha de areia,artigos gerais,2005,10.1590/S1806-11172005000400009,1467.html
Efeito Kelvin com corrente não-senoidal,artigos gerais,2005,10.1590/S1806-11172005000400011,1468.html
Análise do processo cognitivo na construção das figuras de Lissajous,artigos gerais,2005,10.1590/S1806-11172005000400012,1469.html
O uso de 'espirais' de encadernação como molas,produtos e materiais didáticos,2005,10.1590/S1806-11172005000400013,1470.html
Prego voador: um desafio para estudantes de eletromagnetismo,produtos e materiais didáticos,2005,10.1590/S1806-11172005000400014,1471.html
Um experimento simples usado na produção de placas de zonas de Fresnel,produtos e materiais didáticos,2005,10.1590/S1806-11172005000400015,1472.html
Automação para obtenção de dados de uma experiência de Física: 2ª lei de Newton,produtos e materiais didáticos,2005,10.1590/S1806-11172005000400016,1473.html
Easy Java simulations: modelagem computacional para o ensino de Física,produtos e materiais didáticos,2005,10.1590/S1806-11172005000400017,1474.html
Nota complementar sobre o famoso chute de Pelé,notas e discussões,2005,10.1590/S1806-11172005000400018,1475.html
Sobre a contração de Lorentz-Fitzgerald,notas e discussões,2005,10.1590/S1806-11172005000400019,1476.html
Dimensionamento simplificado de uma linha de distribuição eléctrica em corrente contínua,notas e discussões,2005,10.1590/S1806-11172005000400020,1477.html
Os problemas de espalhamento quântico em potenciais elementares,artigos gerais,2004,10.1590/S0102-47442004000100001,1478.html
Roteiro para a experiência de levitação de um imã repelido por um supercondutor no ensino de Física,artigos gerais,2004,10.1590/S1806-11172004000100002,1479.html
O que vemos quando nos miramos em um espelho côncavo?,artigos gerais,2004,,1480.html
Argumentando sobre a realidade dos potenciais,artigos gerais,2004,10.1590/S1806-11172004000100004,1481.html
Eriômetro de Young,artigos gerais,2004,10.1590/S1806-11172004000100005,1482.html
Análise da transformada em ondeletas aplicada em sinal geofísico,artigos gerais,2004,10.1590/S1806-11172004000100006,1483.html
Gases bosônicos armadilhados,artigos gerais,2004,10.1590/S1806-11172004000100007,1484.html
Comparação entre a mecânica relativista e a mecânica newtoniana,artigos gerais,2004,10.1590/S0102-47442004000100008,1485.html
Propriedades de ordenamento do modelo votante em redes de escala livre,artigos gerais,2004,10.1590/S1806-11172004000100009,1486.html
"A evolução dos jogos de Física, a avaliação formativa e a prática reflexiva do professor",pesquisa em ensino de física,2004,10.1590/S1806-11172004000100010,1487.html
Engajamento interativo no curso de Física I da UFJF,pesquisa em ensino de física,2004,10.1590/S0102-47442004000100011,1488.html
Introdução à mecânica dos quanta Parte III,história da física e ciências afins,2004,10.1590/S0102-47442004000100012,1489.html
Introdução à mecânica dos quanta Parte IV,história da física e ciências afins,2004,10.1590/S1806-11172004000100013,1490.html
Sobre as causas naturais que formam a base empírica do fenômeno dos turbilhões nas cosmogonias: dos Pré-Socráticos a René Descartes,história da física e ciências afins,2004,10.1590/S1806-11172004000100014,1491.html
Nota sobre a questão: pode o campo magnético realizar trabalho?,notas e discussões,2004,10.1590/S1806-11172004000100015,1492.html
Einstein apaixonado: a ciência mal-contada de um mito bem-traçado,resenha,2004,10.1590/S1806-11172004000100016,1493.html
Reforma universitária em marcha,editorial,2004,,1494.html
Cálculo do trabalho elétrico via conceitos microscópicos,cartas ao editor,2004,10.1590/S1806-11172004000200002,1495.html
Uma comparação entre deduções da equação E=mc²,artigos gerais,2004,10.1590/S1806-11172004000200003,1496.html
"Sistemas complexos, criticalidade e leis de potência",artigos gerais,2004,10.1590/S0102-47442004000200004,1497.html
Interpretando o algoritmo de Deutsch no interferômetro de Mach-Zehnder,artigos gerais,2004,10.1590/S0102-47442004000200005,1498.html
Realizando experimentos didáticos com o sistema de som de um PC,artigos gerais,2004,10.1590/S0102-47442004000200006,1499.html
Análise da convergência na Teoria da Perturbação Estacionária,artigos gerais,2004,10.1590/S1806-11172004000200008,1500.html
Levantamento dos recursos de energia solar no Brasil com o emprego de satélite geoestacionário: o Projeto Swera,artigos gerais,2004,10.1590/S0102-47442004000200010,1501.html
Método dos limites na solução de capacitores com placas não paralelas,artigos gerais,2004,10.1590/S1806-11172004000200011,1502.html
A história de Eli: um professor de Física no início de carreira,pesquisa em ensino de física,2004,10.1590/S1806-11172004000200012,1503.html
Atividades de modelagem computacional no auxílio à interpretação de gráficos da Cinemática,pesquisa em ensino de física,2004,10.1590/S1806-11172004000200013,1504.html
Amoroso Costa e o primeiro livro brasileiro sobre a Relatividade Geral,história da física,2004,10.1590/S1806-11172004000200014,1505.html
Mecânica Analítica: um livro-texto moderno para cursos de graduação em Física,resenhas,2004,10.1590/S1806-11172004000200015,1506.html
Tradução comentada de um clássico de Copérnico,resenhas,2004,10.1590/S0102-47442004000200016,1507.html
Estamos avaliando bem os candidatos à docência no ensino superior?,editorial,2004,10.1590/S1806-11172004000300001,1508.html
Usando o Excel para medidas de intervalo de tempo no laboratório de Física,artigos gerais,2004,10.1590/S0102-47442004000300003,1509.html
